Title,Category,Release date,Ratings,Metascore,Page URL
Night at the Golden Eagle,movie,"APR 26, 2002",R,32,https://www.metacritic.com/movie/night-at-the-golden-eagle/
The Kindness of Strangers,movie,"FEB 14, 2020",Not Rated,32,https://www.metacritic.com/movie/the-kindness-of-strangers/
 The Secret: Dare to Dream,movie,"JUL 31, 2020",PG,32,https://www.metacritic.com/movie/the-secret-dare-to-dream/
Saint John of Las Vegas,movie,"JAN 29, 2010",R,32,https://www.metacritic.com/movie/saint-john-of-las-vegas/
Broken Horses,movie,"APR 10, 2015",R,32,https://www.metacritic.com/movie/broken-horses/
Untraceable,movie,"JAN 25, 2008",R,32,https://www.metacritic.com/movie/untraceable/
Farmland,movie,"MAY 1, 2014",TV-G,32,https://www.metacritic.com/movie/farmland/
Tyler Perry's Acrimony,movie,"MAR 30, 2018",R,32,https://www.metacritic.com/movie/tyler-perrys-acrimony/
Aspen Extreme,movie,"JAN 22, 1993",PG-13,32,https://www.metacritic.com/movie/aspen-extreme/
Games People Play: New York,movie,"MAR 12, 2004",Not Rated,32,https://www.metacritic.com/movie/games-people-play-new-york/
Men Cry Bullets,movie,"OCT 22, 1999",N/A,32,https://www.metacritic.com/movie/men-cry-bullets/
Showtime,movie,"MAR 15, 2002",PG-13,32,https://www.metacritic.com/movie/showtime/
Black Knight,movie,"NOV 21, 2001",PG-13,32,https://www.metacritic.com/movie/black-knight/
Unfinished Business,movie,"MAR 6, 2015",R,32,https://www.metacritic.com/movie/unfinished-business/
The Hitman's Wife's Bodyguard,movie,"JUN 16, 2021",R,32,https://www.metacritic.com/movie/the-hitmans-wifes-bodyguard/
Chernobyl Diaries,movie,"MAY 25, 2012",R,32,https://www.metacritic.com/movie/chernobyl-diaries/
A Week Away,movie,"MAR 26, 2021",TV-PG,32,https://www.metacritic.com/movie/a-week-away/
Repo Men,movie,"MAR 19, 2010",R,32,https://www.metacritic.com/movie/repo-men/
Boogeyman,movie,"FEB 4, 2005",PG-13,32,https://www.metacritic.com/movie/boogeyman/
The Human Race,movie,"JUN 13, 2014",Not Rated,32,https://www.metacritic.com/movie/the-human-race/
